iter	RMSE
0	6.370649899
1	6.228936626
2	6.099447552
3	5.958043416
4	5.828134397
5	5.725830308
6	5.604204041
7	5.49495934
8	5.394744282
9	5.290713845
10	5.197915714
11	5.092106617
12	5.010311004
13	4.926646604
14	4.838594794
15	4.745256331
16	4.666914618
17	4.595509572
18	4.510280968
19	4.453592121
20	4.387085239
21	4.312619469
22	4.246918493
23	4.181413873
24	4.12278998
25	4.064360635
26	4.010992059
27	3.954560335
28	3.907920467
29	3.857071166
30	3.796642036
31	3.740645406
32	3.698934327
33	3.657061431
34	3.599011279
35	3.559295073
36	3.507756993
37	3.463028826
38	3.428526383
39	3.367136333
40	3.307972282
41	3.270817412
42	3.222888727
43	3.177704346
44	3.135467048
45	3.098891976
46	3.062771845
47	3.021636705
48	2.991459715
49	2.953371755
50	2.929515291
51	2.901906143
52	2.876295514
53	2.854832296
54	2.829892262
55	2.797549043
56	2.777229164
57	2.744814894
58	2.720242406
59	2.68457588
60	2.659842247
61	2.641454933
62	2.609023787
63	2.593055766
64	2.561430237
65	2.535622923
66	2.515078316
67	2.494641893
68	2.474073715
69	2.455981569
70	2.429988493
71	2.407435186
72	2.396745628
73	2.37673425
74	2.352036826
75	2.330163527
76	2.310883399
77	2.278308899
78	2.259534545
79	2.246352369
80	2.219987426
81	2.202933314
82	2.175469641
83	2.162329144
84	2.141189531
85	2.123509187
86	2.101612964
87	2.083393668
88	2.0571056
89	2.040486191
90	2.023123751
91	2.001831811
92	1.986194049
93	1.96555822
94	1.949148119
95	1.929569448
96	1.909338007
97	1.882679116
98	1.864193035
99	1.851984295
100	1.830842205
101	1.806765997
102	1.785963329
103	1.767017095
104	1.753357844
105	1.734938057
106	1.720126448
107	1.706176801
108	1.682738835
109	1.669205876
110	1.65457729
111	1.637263668
112	1.613389976
113	1.594757851
114	1.576645644
115	1.559084854
116	1.544719469
117	1.532390349
118	1.517727146
119	1.49974808
120	1.492464479
121	1.476726918
122	1.46349121
123	1.449815619
124	1.436879354
125	1.42372391
126	1.409346767
127	1.398123863
128	1.385084879
129	1.374175069
130	1.363873611
131	1.349529814
132	1.338912064
133	1.326062543
134	1.319099513
135	1.308948309
136	1.297882702
137	1.289785657
138	1.276010098
139	1.268251586
140	1.250813073
141	1.238565232
142	1.227020577
143	1.221378084
144	1.212381117
145	1.201682731
146	1.189318087
147	1.1826147
148	1.170664954
149	1.165182585
150	1.157269838
151	1.149006439
152	1.135275425
153	1.126995813
154	1.115985909
155	1.1108783
156	1.103051573
157	1.096606815
158	1.090405147
159	1.084437023
160	1.075412934
161	1.070258745
162	1.060938163
163	1.049699555
164	1.033925448
165	1.029621169
166	1.02473723
167	1.01942767
168	1.01332279
169	1.008747005
170	0.9948110916
171	0.9812384857
172	0.9751589453
173	0.9664775088
174	0.9583831516
175	0.948219442
176	0.9419296402
177	0.9367077871
178	0.9292976402
179	0.9188825322
180	0.9139702852
181	0.9069735951
182	0.9000369935
183	0.892713192
184	0.8829297194
185	0.8763862367
186	0.8734215317
187	0.8671645942
188	0.8611863051
189	0.8541202322
190	0.847748447
191	0.8428200724
192	0.8381881287
193	0.8273951564
194	0.8227227009
195	0.8183422695
196	0.8079924538
197	0.8026840771
198	0.7983217925
