iter	Passed	Remaining
0	0	160
1	0	135
2	0	137
3	0	129
4	0	119
5	0	118
6	0	118
7	0	118
8	1	122
9	1	121
10	1	128
11	1	128
12	1	126
13	1	124
14	1	123
15	1	121
16	2	121
17	2	120
18	2	120
19	2	119
20	2	119
21	2	118
22	2	118
23	2	117
24	3	117
25	3	117
26	3	117
27	3	116
28	3	115
29	3	114
30	3	116
31	3	118
32	4	118
33	4	117
34	4	118
35	4	117
36	4	117
37	4	116
38	4	116
39	4	116
40	4	115
41	5	115
42	5	114
43	5	113
44	5	114
45	5	114
46	5	114
47	5	114
48	5	114
49	6	114
50	6	114
51	6	114
52	6	114
53	6	113
54	6	113
55	6	113
56	6	113
57	6	113
58	7	112
59	7	112
60	7	112
61	7	112
62	7	112
63	7	111
64	7	114
65	8	114
66	8	114
67	8	114
68	8	113
69	8	113
70	8	113
71	8	114
72	8	113
73	9	113
74	9	113
75	9	113
76	9	112
77	9	112
78	9	111
79	9	111
80	9	111
81	9	111
82	10	111
83	10	110
84	10	110
85	10	110
86	10	110
87	10	109
88	10	109
89	10	109
90	10	109
91	11	109
92	11	108
93	11	108
94	11	108
95	11	107
96	11	107
97	11	107
98	11	108
99	12	108
100	12	108
101	12	107
102	12	107
103	12	107
104	12	107
105	12	106
106	12	106
107	12	106
108	12	106
109	13	105
110	13	105
111	13	105
112	13	105
113	13	104
114	13	104
115	13	104
116	13	103
117	13	103
118	13	103
119	14	103
120	14	103
121	14	103
122	14	102
123	14	102
124	14	102
125	14	102
126	14	102
127	14	101
128	15	101
129	15	101
130	15	101
131	15	101
132	15	101
133	15	101
134	15	101
135	15	101
136	16	100
137	16	100
138	16	100
139	16	100
140	16	100
141	16	100
142	16	100
143	16	100
144	16	100
145	17	99
146	17	99
147	17	99
148	17	99
149	17	99
150	17	99
151	17	98
152	17	98
153	17	98
154	18	98
155	18	98
156	18	98
157	18	98
158	18	98
159	18	97
160	18	97
161	18	97
162	18	97
163	19	97
164	19	97
165	19	97
166	19	97
167	19	97
168	19	96
169	19	96
170	19	96
171	20	96
172	20	96
173	20	96
174	20	95
175	20	95
176	20	95
177	20	95
178	20	95
179	20	95
180	21	95
181	21	95
182	21	95
183	21	95
184	21	95
185	21	95
186	21	95
187	22	95
188	22	95
189	22	94
190	22	94
191	22	95
192	22	94
193	22	94
194	22	94
195	23	94
196	23	94
197	23	94
198	23	94
199	23	94
200	23	94
201	23	93
202	23	93
203	24	93
204	24	93
205	24	93
206	24	93
207	24	93
208	24	93
209	24	92
210	24	92
211	24	92
212	25	92
213	25	92
214	25	92
215	25	92
216	25	92
217	25	92
218	25	92
219	25	92
220	26	91
221	26	91
222	26	91
223	26	91
224	26	91
225	26	91
226	26	90
227	26	90
228	26	90
229	27	90
230	27	90
231	27	90
232	27	89
233	27	89
234	27	89
235	27	89
236	27	88
237	27	89
238	27	88
239	27	88
240	28	88
241	28	88
242	28	87
243	28	87
244	28	87
245	28	87
246	28	87
247	28	86
248	28	86
249	28	86
250	28	86
251	29	86
252	29	85
253	29	85
254	29	85
255	29	85
256	29	85
257	29	84
258	29	84
259	29	84
260	29	84
261	29	84
262	29	84
263	30	83
264	30	83
265	30	83
266	30	83
267	30	83
268	30	83
269	30	83
270	30	82
271	30	82
272	31	82
273	31	82
274	31	82
275	31	82
276	31	81
277	31	81
278	31	81
279	31	81
280	31	81
281	31	80
282	31	80
283	31	80
284	32	80
285	32	80
286	32	80
287	32	80
288	32	80
289	32	80
290	32	79
291	32	79
292	32	79
293	33	79
294	33	79
295	33	79
296	33	78
297	33	78
298	33	78
299	33	78
300	33	78
301	33	78
302	33	77
303	33	77
304	34	77
305	34	77
306	34	77
307	34	77
308	34	77
309	34	77
310	34	77
311	35	77
312	35	76
313	35	76
314	35	76
315	35	76
316	35	76
317	35	76
318	35	76
319	35	76
320	36	76
321	37	77
322	37	79
323	38	80
324	38	80
325	38	79
326	39	80
327	39	80
328	39	80
329	39	81
330	41	84
331	42	85
332	43	86
333	43	87
334	44	87
335	44	87
336	44	88
337	45	88
338	45	88
339	45	88
340	45	88
341	45	87
342	45	87
343	46	87
344	47	90
345	47	90
346	48	91
347	48	91
348	48	91
349	48	90
350	49	90
351	49	90
352	49	90
353	49	90
354	49	89
355	49	89
356	50	90
357	53	95
358	61	109
359	64	114
360	64	114
361	64	113
362	68	119
363	68	119
364	68	119
365	77	134
366	77	134
367	78	133
368	78	133
369	78	133
370	78	132
371	78	132
372	78	132
373	78	131
374	78	131
375	78	130
376	78	130
377	79	130
378	79	129
379	79	129
380	79	128
381	79	128
382	79	128
383	80	128
384	80	128
385	80	128
386	80	127
387	80	127
388	80	127
389	81	126
390	81	126
391	81	126
392	81	125
393	81	125
394	81	125
395	81	124
396	81	124
397	82	124
398	82	123
399	82	123
400	82	123
401	82	122
402	82	122
403	82	122
404	83	121
405	83	121
406	83	121
407	83	121
408	83	120
409	83	120
410	83	120
411	84	120
412	84	120
413	84	119
414	84	119
415	84	119
416	85	118
417	85	118
418	85	118
419	85	118
420	85	118
421	86	117
422	86	117
423	86	117
424	86	117
425	86	116
426	86	116
427	86	116
428	87	115
429	87	115
430	87	115
431	87	115
432	87	115
433	87	114
434	88	114
435	88	114
436	88	113
437	88	113
438	88	113
439	88	112
440	88	112
441	88	112
442	89	112
443	89	111
444	89	111
445	89	111
446	89	111
447	89	110
448	90	110
449	90	110
450	90	110
451	90	110
452	90	109
453	91	109
454	91	109
455	91	108
456	91	108
457	91	108
458	91	108
459	92	108
460	92	108
461	92	107
462	92	107
463	93	107
464	93	107
465	93	107
466	93	106
467	93	106
468	93	106
469	93	105
470	94	105
471	94	105
472	94	105
473	94	104
474	94	104
475	94	104
476	94	103
477	94	103
478	95	103
479	95	103
480	95	102
481	95	102
482	95	102
483	95	101
484	95	101
485	95	101
486	95	101
487	96	100
488	96	100
489	96	100
490	96	99
491	96	99
492	96	99
493	96	99
494	96	98
495	96	98
496	97	98
497	97	98
498	97	97
499	97	97
500	97	97
501	97	96
502	97	96
503	97	96
504	97	96
505	98	95
506	98	95
507	98	95
508	98	94
509	98	94
510	98	94
511	98	94
512	98	93
513	98	93
514	99	93
515	99	93
516	99	92
517	99	92
518	99	92
519	99	91
520	99	91
521	99	91
522	99	91
523	100	90
524	100	90
525	100	90
526	100	90
527	100	90
528	101	89
529	101	89
530	101	89
531	101	89
532	101	89
533	101	88
534	101	88
535	102	88
536	102	88
537	102	87
538	102	87
539	102	87
540	102	87
541	102	86
542	102	86
543	103	86
544	103	86
545	103	85
546	103	85
547	103	85
548	103	85
549	103	84
550	103	84
551	103	84
552	104	84
553	104	83
554	104	83
555	104	83
556	104	83
557	104	82
558	104	82
559	104	82
560	105	82
561	105	81
562	105	81
563	105	81
564	105	81
565	105	80
566	105	80
567	105	80
568	105	80
569	106	80
570	106	79
571	106	79
572	106	79
573	106	79
574	106	78
575	106	78
576	106	78
577	107	78
578	107	77
579	107	77
580	107	77
581	107	77
582	107	76
583	107	76
584	107	76
585	107	76
586	108	76
587	108	75
588	108	75
589	108	75
590	108	75
591	108	74
592	108	74
593	109	74
594	109	74
595	109	74
596	109	73
597	109	73
598	109	73
599	109	73
600	109	72
601	109	72
602	109	72
603	110	72
604	110	71
605	110	71
606	110	71
607	110	71
608	110	71
609	110	70
610	110	70
611	111	70
612	111	70
613	111	69
614	111	69
615	111	69
616	111	69
617	111	69
618	111	68
619	111	68
620	112	68
621	112	68
622	112	67
623	112	67
624	112	67
625	112	67
626	112	67
627	112	66
628	112	66
629	113	66
630	113	66
631	113	65
632	113	65
633	113	65
634	113	65
635	113	65
636	113	64
637	113	64
638	114	64
639	114	64
640	114	63
641	114	63
642	114	63
643	114	63
644	114	63
645	114	62
646	114	62
647	114	62
648	114	62
649	114	61
650	115	61
651	115	61
652	115	61
653	115	61
654	115	60
655	115	60
656	115	60
657	115	60
658	115	59
659	115	59
660	115	59
661	115	59
662	115	58
663	116	58
664	116	58
665	116	58
666	116	58
667	116	57
668	116	57
669	116	57
670	116	57
671	116	56
672	116	56
673	117	56
674	117	56
675	117	56
676	117	55
677	117	55
678	117	55
679	117	55
680	117	55
681	117	54
682	117	54
683	118	54
684	118	54
685	118	54
686	118	53
687	118	53
688	118	53
689	118	53
690	118	53
691	119	52
692	119	52
693	119	52
694	119	52
695	119	52
696	119	52
697	119	51
698	119	51
699	120	51
700	120	51
701	120	51
702	120	50
703	120	50
704	120	50
705	120	50
706	120	50
707	120	49
708	121	49
709	121	49
710	121	49
711	121	49
712	121	48
713	121	48
714	121	48
715	121	48
716	122	48
717	122	47
718	122	47
719	122	47
720	122	47
721	122	47
722	122	47
723	122	46
724	122	46
725	123	46
726	123	46
727	123	46
728	123	45
729	123	45
730	123	45
731	123	45
732	123	45
733	124	44
734	124	44
735	124	44
736	124	44
737	124	44
738	124	44
739	124	43
740	125	43
741	125	43
742	125	43
743	125	43
744	125	42
745	125	42
746	125	42
747	125	42
748	125	42
749	126	42
750	126	41
751	126	41
752	126	41
753	126	41
754	126	41
755	126	40
756	126	40
757	126	40
758	127	40
759	127	40
760	127	39
761	127	39
762	127	39
763	127	39
764	127	39
765	127	39
766	127	38
767	128	38
768	128	38
769	128	38
770	128	38
771	128	37
772	128	37
773	128	37
774	128	37
775	128	37
776	129	37
777	129	36
778	129	36
779	129	36
780	129	36
781	129	36
782	129	35
783	129	35
784	129	35
785	130	35
786	130	35
787	130	35
788	130	34
789	130	34
790	130	34
791	130	34
792	130	34
793	130	33
794	131	33
795	131	33
796	131	33
797	131	33
798	131	33
799	131	32
800	131	32
801	131	32
802	131	32
803	132	32
804	132	32
805	132	31
806	132	31
807	132	31
808	132	31
809	132	31
810	132	30
811	132	30
812	133	30
813	133	30
814	133	30
815	133	30
816	133	29
817	133	29
818	133	29
819	133	29
820	133	29
821	134	29
822	134	28
823	134	28
824	134	28
825	134	28
826	134	28
827	134	27
828	134	27
829	134	27
830	135	27
831	135	27
832	135	27
833	135	26
834	135	26
835	135	26
836	135	26
837	135	26
838	136	26
839	136	25
840	136	25
841	136	25
842	136	25
843	136	25
844	136	25
845	136	24
846	136	24
847	137	24
848	137	24
849	137	24
850	137	24
851	137	23
852	137	23
853	137	23
854	137	23
855	137	23
856	137	23
857	138	22
858	138	22
859	138	22
860	138	22
861	138	22
862	138	22
863	138	21
864	138	21
865	139	21
866	139	21
867	139	21
868	139	21
869	139	20
870	139	20
871	139	20
872	139	20
873	139	20
874	140	20
875	140	19
876	140	19
877	140	19
878	140	19
879	140	19
880	140	19
881	140	18
882	140	18
883	141	18
884	141	18
885	141	18
886	141	18
887	141	17
888	141	17
889	141	17
890	141	17
891	142	17
892	142	17
893	142	16
894	142	16
895	142	16
896	142	16
897	142	16
898	142	16
899	142	15
900	143	15
901	143	15
902	143	15
903	143	15
904	143	15
905	143	14
906	143	14
907	143	14
908	144	14
909	144	14
910	144	14
911	144	13
912	144	13
913	144	13
914	144	13
915	144	13
916	144	13
917	144	12
918	145	12
919	145	12
920	145	12
921	145	12
922	145	12
923	145	11
924	145	11
925	145	11
926	146	11
927	146	11
928	146	11
929	146	11
930	146	10
931	146	10
932	146	10
933	146	10
934	146	10
935	147	10
936	147	9
937	147	9
938	147	9
939	147	9
940	147	9
941	147	9
942	147	8
943	147	8
944	148	8
945	148	8
946	148	8
947	148	8
948	148	7
949	148	7
950	148	7
951	148	7
952	149	7
953	149	7
954	149	7
955	149	6
956	149	6
957	149	6
958	149	6
959	149	6
960	149	6
961	150	5
962	150	5
963	150	5
964	150	5
965	150	5
966	150	5
967	150	4
968	150	4
969	150	4
970	151	4
971	151	4
972	151	4
973	151	4
974	151	3
975	151	3
976	151	3
977	151	3
978	151	3
979	152	3
980	152	2
981	152	2
982	152	2
983	152	2
984	152	2
985	152	2
986	152	2
987	153	1
988	153	1
989	153	1
990	153	1
991	153	1
992	153	1
993	153	0
994	154	0
995	154	0
996	154	0
997	154	0
998	154	0
999	154	0
