"Location","Firearms Death Rate per 100,000"
"Alabama","22.2"
"Alaska","24.4"
"Arizona","15.1"
"Arkansas","19.3"
"California","7.2"
"Colorado","14.2"
"Connecticut","5.3"
"Delaware","9.9"
"District of Columbia","18.3"
"Florida","12.7"
"Georgia","15.8"
"Hawaii","4.4"
"Idaho","14.2"
"Illinois","10.8"
"Indiana","14.1"
"Iowa","9.1"
"Kansas","13.7"
"Kentucky","14.9"
"Louisiana","22.1"
"Maine","11.5"
"Maryland","12.6"
"Massachusetts","3.4"
"Michigan","12.1"
"Minnesota","8.1"
"Mississippi","24.2"
"Missouri","20.6"
"Montana","19"
"Nebraska","10.4"
"Nevada","15.3"
"New Hampshire","10.7"
"New Jersey","4.1"
"New Mexico","22.3"
"New York","3.9"
"North Carolina","13.1"
"North Dakota","12.4"
"Ohio","13.3"
"Oklahoma","18.6"
"Oregon","12.6"
"Pennsylvania","11.7"
"Rhode Island","4.6"
"South Carolina","19.9"
"South Dakota","13.1"
"Tennessee","18.4"
"Texas","12.6"
"Utah","12.8"
"Vermont","9.3"
"Virginia","11.7"
"Washington","10.7"
"West Virginia","16.6"
"Wisconsin","10"
"Wyoming","22.3"


