State,FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US (of 52 states)
"United States",00000,4.7,10732389,"N/A"
"Puerto Rico",72001,12.5,301849,"52"
"California",06000,8.7,2343992,"51"
"Texas",48000,7.3,1414661,"50"
"New York",36000,6.0,836124,"49"
"Nevada",32000,5.4,117806,"48"
"New Mexico",35000,5.2,75657,"47"
"Rhode Island",44000,4.8,37355,"46"
"Arizona",04000,4.7,232566,"45"
"New Jersey",34000,4.6,298733,"44"
"Illinois",17000,4.5,396353,"41"
"Louisiana",22000,4.5,139039,"41"
"Mississippi",28000,4.5,87856,"41"
"Kentucky",21000,4.4,135815,"40"
"Arkansas",05000,4.3,88834,"37"
"Florida",12000,4.3,674025,"37"
"Georgia",13000,4.3,309239,"37"
"Massachusetts",25000,4.2,209811,"36"
"Connecticut",09000,4.0,101530,"33"
"Maryland",24000,4.0,169933,"33"
"North Carolina",37000,4.0,288456,"33"
"Oklahoma",40000,3.8,100466,"31"
"Tennessee",47000,3.8,184732,"31"
"Alabama",01000,3.7,127353,"29"
"Nebraska",31000,3.7,48210,"29"
"Indiana",18000,3.6,163174,"27"
"Virginia",51000,3.6,214062,"27"
"West Virginia",54000,3.5,43956,"26"
"Kansas",20000,3.4,66345,"24"
"Washington",53000,3.4,185425,"24"
"Oregon",41000,3.3,100461,"22"
"South Carolina",45000,3.3,117810,"22"
"Hawaii",15000,3.2,33240,"20"
"Idaho",16000,3.2,39301,"20"
"Colorado",08000,3.1,126261,"18"
"Delaware",10000,3.1,22160,"18"
"District of Columbia",11001,2.9,14044,"16"
"Pennsylvania",42000,2.9,262339,"16"
"Iowa",19000,2.7,57376,"11"
"Minnesota",27000,2.7,104575,"11"
"Missouri",29000,2.7,113643,"11"
"South Dakota",46000,2.7,16094,"11"
"Utah",49000,2.7,53179,"11"
"Michigan",26000,2.6,181599,"9"
"Ohio",39000,2.6,214841,"9"
"North Dakota",38000,2.4,12222,"7"
"Wisconsin",55000,2.4,96291,"7"
"Alaska",02900,2.1,10288,"6"
"New Hampshire",33000,1.9,18815,"4"
"Wyoming",56000,1.9,7492,"4"
"Maine",23000,1.8,18224,"3"
"Vermont",50000,1.7,7970,"2"
"Montana",30000,1.6,12656,"1"
