Fams Below Pov %,Ppl (<150% Of Pov) %,Ppl (Below Poverty) %,% At Least Bachelor's Degree,Median Fam Income (Scaled),Median Household Income (Scaled),Vast Majority Income (Scaled),Language Isolation %,g_va death rate
11.3,25.2,15.6,27.8,-1.1703416767002466,-1.2643717890293602,-1.3463953095884365,1.3,24.659999999999997
6.8,17.3,10.2,31.2,0.786961620693646,0.9482026829963902,0.943794947481131,2.2,23.8
8.9,20.8,12.8,32.6,-0.34401250703757585,-0.061630273879692866,-0.1753012647121693,3.5,17.74
11.5,26.9,16.0,25.1,-1.5829067055826163,-1.5280107846707895,-1.648097020100595,1.5,21.8
8.4,19.6,12.0,36.5,0.9261996728416708,1.5151804615762066,0.6515214154224774,8.3,8.26
5.9,15.4,9.4,44.7,1.258706348538626,1.2021192817487687,1.5486268803923429,2.3,16.22
6.8,15.8,10.0,41.9,1.6247176213836623,1.3066350483060654,1.5191995355223122,5.1,6.22
7.3,17.1,10.7,35.3,0.36974121620754286,0.42311223101356815,0.5923810233050373,2.6,12.960000000000004
8.9,21.3,12.6,33.2,-0.7653239991754446,-0.4797743600829555,-0.41186283318193,6.9,13.64
9.9,22.1,13.5,34.2,-0.46836746445245325,-0.24052237663822876,-0.5724275692688932,2.8,18.42
6.9,15.6,10.0,35.5,1.3166163996093092,1.675843070167772,0.6969480934257286,5.4,4.4
7.0,19.4,10.6,31.2,-0.5504008254697547,-0.24279093591234063,-0.5655707122117987,1.8,16.6
8.2,18.6,11.7,37.2,0.46037996849235135,0.32969620090460444,0.3103927768320254,4.3,13.78
8.4,20.5,12.2,28.8,-0.6013983491288337,-0.6142675170481591,-0.6549955563314063,1.9,17.099999999999998
6.9,18.5,11.0,30.9,-0.17670112927915885,-0.3634296773106468,-0.12473194391609727,1.9,10.64
7.7,19.1,11.5,35.2,-0.2454737234252198,-0.4045878241409621,-0.2750113944174187,2.4,16.2
11.8,25.6,16.1,27.0,-1.2372803350024126,-1.232773999139945,-1.3183964766053005,1.6,18.660000000000004
14.2,28.6,18.9,26.6,-1.3690415717868658,-1.4267358170765096,-1.6218124013817325,1.9,26.8
6.5,18.2,10.8,35.3,-0.2588755622844522,-0.47475112169027917,0.11925788636551582,0.9,12.04
6.3,15.0,9.3,42.7,1.9404367305095789,1.9460446837093106,1.779188698937146,3.5,13.44
6.6,15.6,10.0,46.6,2.1976815006128447,1.9208474717718538,2.0040364699343702,6.0,3.5799999999999996
8.8,20.8,13.1,31.8,-0.42534050811491764,-0.5253075855133437,-0.3964349048034674,1.8,14.2
5.5,15.3,9.2,38.8,1.0238214885320793,0.8039871291421358,1.0586473031874641,2.2,9.1
14.3,30.2,19.1,24.2,-1.8449479232776076,-1.8405858446537748,-2.1072207405485486,0.8,29.139999999999997
8.4,21.1,12.6,31.9,-0.579673262978078,-0.7059011077274635,-0.5875697952699769,1.1,22.660000000000004
7.1,20.4,12.0,34.5,-0.6242520111835247,-0.6247190937038888,-0.3390087269503008,0.4,22.08
6.7,17.9,10.3,34.1,-0.005298663868976183,-0.2145149649600177,-0.10530418225432948,2.5,10.72
9.0,21.2,12.6,27.4,-0.5108301328380211,-0.16784745989257355,-0.3624363218953737,5.2,17.880000000000003
4.4,11.9,7.2,39.8,1.5347842290388132,1.4579803598789574,1.8720419715853007,1.2,9.52
7.0,15.6,9.8,42.9,1.8984678140819828,1.8972706593159054,1.6226237961334877,7.0,4.779999999999999
13.7,28.5,18.1,30.2,-1.4695553632311087,-1.2564318315699687,-1.338681345399205,5.2,25.08
9.8,21.0,13.7,39.6,0.570133975150065,0.5627096463455235,0.48695684605220907,7.6,4.92
9.4,22.0,13.2,34.7,-0.7074844840987574,-0.6261774532372464,-0.5338577483227366,2.3,15.919999999999998
6.2,16.9,10.6,32.3,0.45184511321884024,-0.1364117099513091,0.21553958754221794,1.5,14.44
9.2,21.0,13.2,30.9,-0.47182372815825524,-0.6443259274301414,-0.4538610826566339,1.5,15.12
11.1,25.1,15.3,27.8,-1.1544005420571597,-1.1366843098864923,-1.2241146920702508,2.1,20.04
7.3,19.5,11.9,36.2,0.13083580454322652,0.22631471398436356,0.3909608472528859,2.3,13.82
8.1,18.9,11.8,34.5,0.026230925447217914,-0.12571707337335314,0.07154558934323317,2.6,13.679999999999998
7.0,17.1,10.9,37.3,0.917100529616192,0.7080594798368339,0.7249469264088645,5.1,4.64
10.1,22.9,14.2,31.5,-0.9450497118771506,-0.8762050932340044,-0.8167031019278852,1.5,20.839999999999996
7.4,19.7,12.0,31.1,-0.2396897719175511,-0.4222501784894045,-0.3007246083815231,1.2,13.8
9.9,22.7,13.8,30.4,-0.9004004276777079,-0.8536005204669612,-0.8161316971731274,1.7,21.0
10.5,22.7,13.8,33.1,-0.3685590329481699,-0.10862185884343871,-0.5681420336082091,6.8,14.52
5.7,15.1,8.6,36.9,0.6020867804302349,1.1437849004144636,-0.00016570737888028296,2.1,13.76
5.7,17.1,10.3,42.6,0.36162957689800745,0.03170473625519544,0.5798101187003639,0.6,11.36
6.8,16.2,9.9,41.5,1.0699520286054371,1.0809134005319345,1.115216373908494,2.7,13.62
6.4,16.0,9.9,38.8,1.2055222090656723,1.4032108574039708,1.5837682728099522,3.8,11.64
11.9,26.3,16.6,23.3,-1.5515181882544142,-1.5973638824793523,-1.5666718425475976,0.3,17.0
6.6,17.3,10.6,32.8,0.020023757975573438,-0.15901628271835236,0.29239352705715227,1.4,12.48
7.1,18.0,10.7,29.9,-0.12492770968612425,-0.22828836055283977,0.05183212530408644,0.9,23.24
