Fams Below Pov %,Ppl (<150% Of Pov) %,Ppl (Below Poverty) %,Below 9th Ed %,Below HS Ed %,Below Bach Ed %,Language Isolation %,Unemployed %,g_va death rate
11.3,25.2,15.6,3.7,11.9,27.8,1.3,4.8,24.659999999999997
6.8,17.3,10.2,2.1,6.5,31.2,2.2,5.8,23.8
8.9,20.8,12.8,4.7,10.9,32.6,3.5,5.2,17.74
11.5,26.9,16.0,4.3,11.4,25.1,1.5,5.1,21.8
8.4,19.6,12.0,8.7,15.4,36.5,8.3,6.4,8.26
5.9,15.4,9.4,3.1,7.2,44.7,2.3,4.5,16.22
6.8,15.8,10.0,4.0,8.7,41.9,5.1,5.6,6.22
7.3,17.1,10.7,3.1,8.6,35.3,2.6,5.1,12.960000000000004
8.9,21.3,12.6,4.3,10.4,33.2,6.9,4.8,13.64
9.9,22.1,13.5,4.3,11.0,34.2,2.8,5.1,18.42
6.9,15.6,10.0,3.2,7.1,35.5,5.4,5.0,4.4
7.0,19.4,10.6,3.2,8.3,31.2,1.8,3.7,16.6
8.2,18.6,11.7,4.5,9.7,37.2,4.3,5.8,13.78
8.4,20.5,12.2,3.6,9.8,28.8,1.9,4.3,17.099999999999998
6.9,18.5,11.0,2.7,6.8,30.9,1.9,3.6,10.64
7.7,19.1,11.5,3.4,8.1,35.2,2.4,3.9,16.2
11.8,25.6,16.1,4.4,11.5,27.0,1.6,4.8,18.660000000000004
14.2,28.6,18.9,4.5,13.1,26.6,1.9,6.3,26.8
6.5,18.2,10.8,1.8,5.5,35.3,0.9,3.9,12.04
6.3,15.0,9.3,4.0,9.0,42.7,3.5,4.9,13.44
6.6,15.6,10.0,4.2,8.6,46.6,6.0,5.1,3.5799999999999996
8.8,20.8,13.1,2.6,8.1,31.8,1.8,5.8,14.2
5.5,15.3,9.2,2.7,6.1,38.8,2.2,3.9,9.1
14.3,30.2,19.1,4.5,13.4,24.2,0.8,6.0,29.139999999999997
8.4,21.1,12.6,2.7,8.4,31.9,1.1,4.1,22.660000000000004
7.1,20.4,12.0,1.6,5.4,34.5,0.4,3.8,22.08
6.7,17.9,10.3,3.7,7.9,34.1,2.5,3.0,10.72
9.0,21.2,12.6,5.4,12.6,27.4,5.2,6.8,17.880000000000003
4.4,11.9,7.2,1.9,5.9,39.8,1.2,3.4,9.52
7.0,15.6,9.8,4.6,9.3,42.9,7.0,6.2,4.779999999999999
13.7,28.5,18.1,5.2,12.3,30.2,5.2,6.0,25.08
9.8,21.0,13.7,6.0,12.1,39.6,7.6,6.2,4.92
9.4,22.0,13.2,4.0,10.3,34.7,2.3,4.8,15.919999999999998
6.2,16.9,10.6,2.4,6.2,32.3,1.5,2.8,14.44
9.2,21.0,13.2,2.6,8.4,30.9,1.5,4.8,15.12
11.1,25.1,15.3,3.8,10.9,27.8,2.1,4.9,20.04
7.3,19.5,11.9,3.3,8.3,36.2,2.3,5.4,13.82
8.1,18.9,11.8,2.9,8.1,34.5,2.6,5.2,13.679999999999998
7.0,17.1,10.9,4.8,10.5,37.3,5.1,5.7,4.64
10.1,22.9,14.2,3.3,10.4,31.5,1.5,5.0,20.839999999999996
7.4,19.7,12.0,2.7,7.0,31.1,1.2,3.0,13.8
9.9,22.7,13.8,3.8,10.4,30.4,1.7,4.7,21.0
10.5,22.7,13.8,7.3,14.3,33.1,6.8,5.1,14.52
5.7,15.1,8.6,2.7,6.7,36.9,2.1,3.4,13.76
5.7,17.1,10.3,1.7,5.5,42.6,0.6,3.7,11.36
6.8,16.2,9.9,3.6,8.7,41.5,2.7,4.3,13.62
6.4,16.0,9.9,3.4,7.8,38.8,3.8,5.0,11.64
11.9,26.3,16.6,3.5,11.4,23.3,0.3,5.7,17.0
6.6,17.3,10.6,2.4,6.6,32.8,1.4,3.3,12.48
7.1,18.0,10.7,1.9,5.9,29.9,0.9,3.7,23.24
